from,to,relation,weight
Thomas,VfBAG,1,3
Tobias,VfBAG,1,2
Oliver,VfBAG,1,1
Claus,VfBAG,2,3
Wilfried,VfBAG,2,2
Rainer,VfBAG,2,1
Hartmut,VfBAG,2,1
Franz,VfBAG,2,1
Bertram,VfBAG,2,1
Daimler,VfBAG,4,3
Kaercher,VfBAG,4,1
Thomas,Magnus,3,1
Thomas,Akademie,3,1
Oliver,Kommission,3,1
Claus,VfBeV,1,3
Claus,Fair,2,3
Claus,Intesia,1,3
Wilfried,Daimler,1,3
Wilfried,Hanns,1,2
Wilfried,SWM,2,2
Hartmut,Kaercher,1,3
Franz,Daimler,1,3
Bertram,Bosch,3,2
Rainer,11hilft,3,2
Rainer,VfBeV,2,3
Bertram,Gerlingen,1,3
VfBAG,VfBeV,,